"sample","shannon","simpson","richness"
"ADN1.19",0.757064710111123,0.313476311805266,20.198
"ADN1.35",1.48586414190091,0.66516287151686,26.915
"ADN1.39",1.09764534098101,0.567223514834227,17.409
"ADN1.42",1.14996185257388,0.590435275136673,21.156
"ADN1.25",0.755982621100364,0.467751827578828,8.047
"ADN1.31",2.20633579256672,0.837141584160796,19.626
"ADS1.21",0.174177180218817,0.0608741361028268,7.326
"ADS1.14",0.971942376348536,0.538367184450612,18.614
"ADS1.10",0.517824995668443,0.212589558776266,15.129
"ADS1.20",0.629157079255676,0.280362274573231,15.319
"ADS1.18",1.37225226111066,0.633307128619392,21.941
"ADS1.4",2.2513458501871,0.844920221305149,27.526
"ADS1.35",0.53844575112396,0.245369044689823,12.211
"ADS1.41",0.696022464794575,0.23386020234209,26.105
"ADS1.5",1.14908071408305,0.544625207082854,17.19
"ADS1.3",0.578483928888264,0.217478033388128,14.73
"ADS1.32",2.00273987312381,0.761349486931439,40.058
"ASH2.10",0.0795354085026998,0.0236732567170184,5.814
"ASH2.65",0.351009592715025,0.140950552581613,12.386
"ASH2.52",1.04421132076108,0.444369941547933,20.336
"ASH2.53",0.403808670498251,0.131961036764771,19.141
"ASH2.66",0.820754969522666,0.417213659814264,11.323
"CW1.11",0.902078330060175,0.327991852136229,28.654
"CW1.14",0.436445889441638,0.149436180009602,15.6
"CW1.1",1.0053178231956,0.493617489614799,22.146
"CW1.6",2.02572311239415,0.770786514908763,33.406
"CW1.8",0.680561106427201,0.279237417337173,22.26
"CW1.10",1.83534267551389,0.718173306008148,36.246
"CW1.7",0.704512193853432,0.278023900186665,13.242
"CW1.2",3.20937073956137,0.937367289444725,60.662
"CW1.12",1.75953802945877,0.683299004800074,33.193
"CW1.4",0.442571897011658,0.160943666250163,12.345
"CW1.13",1.61134810750831,0.515649100056184,51.311
"CW1.5",1.96910197741838,0.770867785161206,42.578
"CW1.9",0.842294657206536,0.333255736004726,20.678
"GK1j.11",0.9109605708117,0.429233171086705,25.986
"GK1j.33",1.42085034953899,0.647921754539793,23.418
"GK1j.42",0.343685079477975,0.149720330947856,11.297
"GK1j.50",1.69891037456961,0.581899981485771,40.944
"GK1j.16",1.06083677372874,0.507732644913916,28.436
"GK1j.34",1.8957357923323,0.72664152685485,46.041
"GK1j.40",2.35099410427872,0.814513629598402,48.199
"GK1j.3",2.78878351964815,0.902257108943014,51.674
"GK1j.41",0.889396720329075,0.35369059276791,29.301
"GK1j.44",1.48633844321912,0.468285364381669,56.234
"MEN1.12",1.74293431980488,0.773524054471908,16.263
"MEN1.41",2.74102945893631,0.906007702239902,38.506
"MEN1.28",1.91870178851623,0.767718538834597,32.428
"MEN1.33",1.93313282542105,0.722238197178945,33.87
"MEN1.38",3.02980334450722,0.929272706579924,47.351
"MEN1.22",1.54076663266647,0.684916193057726,27.337
"MEN1.2",2.28755879512073,0.852003217147863,33.204
"MEN1.29",2.04566616848601,0.798775784670699,32.747
"MEN1.45",1.08026378261542,0.502953354561914,36.769
"MEN1.9",1.16608927634319,0.524986266609708,25.318
"MES1.34",1.61013060737052,0.714475166487803,39.848
"MES1.32",1.84457242581531,0.746995847522901,30.867
"MES1.31",0.874988596136248,0.305686356135223,29.82
"MES1.12",2.56347287437761,0.876899325072193,50.123
"MES1.2",0.948967903975807,0.385043474776165,28.316
"MES1.30",2.10840022868326,0.821925976745801,29
"MES1.18",1.07638245751675,0.485897623526375,18.18
"MI1.2",1.76694047783126,0.660066324220218,35.96
"MI1.11",1.33335542935123,0.559265586215796,31.486
"MI1.50",2.48313760839317,0.821214105438134,46.616
"MI1.14",2.85564221067187,0.896508541792066,56.579
"MI1.43",0.705376224233383,0.321919872660575,21.036
"MI1.15",2.66673920800238,0.867288155942707,54.65
"MI1.42",2.14495251483102,0.769839982559756,40.581
"MI1.38",2.25792571587592,0.864375446124796,25.532
"MI1.1",1.42422960814244,0.576136800116054,33.415
"MI1.20",1.23949604027813,0.6182334572157,10.625
"MI1.5",3.19596121485659,0.921237609692799,63.687
"TSP1.50",1.78831462593109,0.738214361110822,30.516
"TSP1.49",2.6673787665521,0.869246921308115,55.541
"TSP1.16",1.07633042353878,0.349592053789045,41.752
"TSP1.18",0.627421419089737,0.245622466816651,25.435
"TSP1.47",0.688032393851808,0.223085260830223,28.026
"TSP1.13",2.39896883905208,0.79696961181833,65.782
"TSP1.26",2.73850607192011,0.895932633853468,72.238
"TSP1.34",2.74653432261705,0.903087673290378,54.059
"WF1.15",1.26585771731018,0.606290408907989,15.814
"WF1.4",1.26898151732908,0.640395808570886,13.032
"WF1.42",2.15146485646388,0.810218273944869,41.887
"WF1.22",0.97460317998357,0.45424330261788,18.278
"WF1.45",1.42618638943997,0.560180649184213,28.775
"WF1.17",1.04686654612507,0.435750776034733,15.352
"WF1.35",1.47317099569492,0.684308144096808,11.753
"WF1.13",1.59148706361354,0.690711313476355,26.184
"WF1.9",1.52429145099488,0.722484962198111,19.492
"WF1.48",1.34168905131739,0.652132908120533,16.174
"WF1.47",1.65072766462783,0.680003515299085,22.802
"WF1.24",1.53241898465032,0.649004434598686,19.472
"WF1.6",1.79529640308818,0.778579984274927,15.589
"WF1.8",1.24716837658006,0.627746093778177,12.925
"WF1.46",1.55143512131859,0.73605688917671,11.01
"WF1.34",1.55772340637011,0.643913722089399,25.612
"WF1.27",2.16482205043908,0.823731832211392,25.215
"WF1.19",1.71648306772632,0.694891372769977,26.58
"WF1.28",1.41202846794809,0.572005940582949,18.476
"WF1.16",2.19871470490804,0.809388426122215,32.669
"WF1.36",0.289296550867388,0.113170623448632,7.847
